Response No.,Tab No.,Survey Date,AC Name,Mandal Name,Village Name
319,305,6/29/2015,Intermediate,Intermediate,Intermediate
323,248,6/14/2015,Nandigama,Chanderlapadu,Kodavatikallu
323,305,6/30/2015,Intermediate,Intermediate,Intermediate
329,269,6/25/2015,Mylavaram,Reddygudem,Reddygudem
330,74,6/22/2015,Intermediate,Intermediate,Intermediate
332,147,6/19/2015,Jaggaiahpeta,Jaggaiahpeta,S M Peta
332,176,6/15/2015,Mylavaram,G. Konduru,Kavuluru
333,488,6/11/2015,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
333,472,6/17/2015,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
334,458,6/6/2015,Tiruvuru,Gampalagudem,ARLAPADU
334,180,6/23/2015,Mylavaram,G. Konduru,Gaddamanugu
334,402,6/29/2015,Tiruvuru,A.Konduru,Ramachandrapuram
334,10,6/30/2015,Nandigama,Kanchikacherla,Gottimukkala
335,389,6/5/2015,Tiruvuru,A.Konduru,Cheemalapadu
338,428,5/25/2015,Nandigama,Veerullapadu,Thati Gummi
338,326,7/3/2015,Tiruvuru,Tiruvuru,G.Kothuru
341,290,6/13/2015,Mylavaram,Reddygudem,Intermediate
341,300,7/9/2015,Nandigama,Chanderlapadu,Konayapalem
342,173,6/26/2015,Mylavaram,G. Konduru,Kavuluru
343,360,5/26/2015,Mylavaram,Mylavaram,k.r.gudem
344,431,7/5/2015,Tiruvuru,Vissannapeta,Vissannapeta
345,329,6/5/2015,Tiruvuru,Tiruvuru,Rolupadi
347,473,5/27/2015,Jaggaiahpeta,Penuganchiprolu,Lingaguduam
348,382,6/3/2015,Tiruvuru,A.Konduru,Polishettipadu
349,424,6/10/2015,Nandigama,Veerullapadu,Ponnavaram
351,109,6/23/2015,Nandigama,Veerullapadu,Dodda Devara Padu
353,301,6/19/2015,Nandigama,Nandigama,Lingalapadu
355,93,6/8/2015,Mylavaram,Vijayawada (R),Kottur tadepalli
356,431,7/2/2015,Tiruvuru,Vissannapeta,Vissannapeta
359,249,6/7/2015,Jaggaiahpeta,Jaggaiahpeta,Balusupadu
361,63,5/29/2015,Mylavaram,Ibrahimpatnam,Elaprolu
361,21,6/24/2015,Nandigama,Veerullapadu,G.Madhavaram
362,414,5/22/2015,Tiruvuru,Tiruvuru,Vamakuntla
362,405,7/3/2015,Tiruvuru,A.Konduru,Khampampadu
369,290,7/1/2015,Intermediate,Intermediate,Intermediate
370,299,6/16/2015,Jaggaiahpeta,Nadigama,Jonnalagadda
372,128,5/24/2015,Jaggaiahpeta,Vatsavai,Talluru
374,358,6/13/2015,Intermediate,Intermediate,Intermediate
377,208,6/10/2015,Nandigama,Kanchikacherla,Pendyala
379,489,7/14/2015,Intermediate,Intermediate,Intermediate
379,175,7/9/2015,Mylavaram,G. Konduru,G.kondur
379,311,7/23/2015,Intermediate,Intermediate,Intermediate
381,207,5/22/2015,Nandigama,Kanchikacherla,Perakalapadu
382,380,7/24/2015,Intermediate,Intermediate,Intermediate
383,181,6/12/2015,Mylavaram,G. Konduru,Koduru
384,208,6/4/2015,Nandigama,Kanchikacherla,Pendyala
387,246,7/19/2015,Mylavaram,Ibrahimpatnam,Kondapalli
388,39,6/11/2015,Intermediate,Intermediate,Intermediate
388,262,7/16/2015,Mylavaram,Ibrahimpatnam,Kondapalli
394,460,7/3/2015,Tiruvuru,Gampalagudem,Intermediate
396,216,7/6/2015,Nandigama,Chanderlapadu,Muppalla
397,327,5/25/2015,Tiruvuru,Tiruvuru,Vamakuntla
401,422,7/11/2015,Tiruvuru,Vissannapeta,Vissannapeta
404,277,6/22/2015,Mylavaram,Reddygudem,Reddygudem
404,467,7/7/2015,Tiruvuru,Gampalagudem,VUTUKURU
408,37,6/23/2015,Nandigama,Veerullapadu,Intermediate
409,198,7/9/2015,Mylavaram,G. Konduru,G.kondur
412,47,6/9/2015,Nandigama,Veerullapadu,Jagannadhapuram
414,49,6/10/2015,Tiruvuru,Vissannapeta,Narasapuram
414,455,7/3/2015,Tiruvuru,Gampalagudem,Intermediate
415,214,6/1/2015,Nandigama,Kanchikacherla,Athukuru
418,464,6/8/2015,Tiruvuru,Gampalagudem,ARLAPADU
418,478,6/18/2015,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
418,287,7/18/2015,Mylavaram,Ibrahimpatnam,Kondapalli
419,214,6/7/2015,Nandigama,Kanchikacherla,Pendyala
420,238,7/3/2015,Tiruvuru,A.Konduru,Khampampadu
423,407,7/2/2015,Tiruvuru,A.Konduru,Ramachandrapuram
424,358,5/26/2015,Intermediate,Intermediate,Intermediate
426,352,7/17/2015,Intermediate,Intermediate,Intermediate
426,204,7/21/2015,Nandigama,Kanchikacherla,Kanchikacherla
427,278,5/31/2015,Mylavaram,Reddygudem,Rangapuram
427,162,6/11/2015,Nandigama,Chanderlapadu,Chinthalapadu
427,124,7/10/2015,Jaggaiahpeta,Vatsavai,Vatsavai
429,193,5/30/2015,Mylavaram,G. Konduru,Kuntamukkala
431,467,6/5/2015,Tiruvuru,Gampalagudem,ARLAPADU
434,269,5/23/2015,Mylavaram,Reddygudem,Rudra varam
435,317,6/6/2015,Jaggaiahpeta,Nadigama,Somavaram
436,41,6/13/2015,Nandigama,Veerullapadu,Vellanki
436,251,7/9/2015,Nandigama,Chanderlapadu,Muppalla
437,262,5/31/2015,Mylavaram,Reddygudem,K-Naguluru
437,356,6/24/2015,Mylavaram,Reddygudem,Reddygudem
437,427,6/27/2015,Tiruvuru,Vissannapeta,Tatakuntla
438,397,6/3/2015,Tiruvuru,A.Konduru,Krishnaraopalem
438,460,6/5/2015,Tiruvuru,Gampalagudem,VINAGADAPA
439,380,6/15/2015,Mylavaram,Mylavaram,Chandragudem
439,21,6/17/2015,Nandigama,Veerullapadu,G.Madhavaram
439,130,7/1/2015,Jaggaiahpeta,Vatsavai,Polampalli
441,56,5/31/2015,Tiruvuru,Gampalagudem,KANUMURU
441,258,6/19/2015,Jaggaiahpeta,Jaggaiahpeta,Bandipalem
442,499,5/29/2015,Jaggaiahpeta,Penuganchiprolu,Totacharla
442,433,6/11/2015,Intermediate,Intermediate,Intermediate
443,393,7/1/2015,Tiruvuru,A.Konduru,Khampampadu
444,378,5/31/2015,Mylavaram,Mylavaram,Morsumalli
444,1,7/9/2015,Nandigama,Chanderlapadu,Thurlapadu
445,383,6/23/2015,Tiruvuru,A.Konduru,Cheemalapadu
446,320,6/20/2015,Nandigama,Nandigama,Pallagiri
449,213,6/12/2015,Nandigama,Kanchikacherla,Gandepalli
451,252,7/3/2015,Jaggaiahpeta,Vatsavai,Magollu
453,257,6/9/2015,Jaggaiahpeta,Jaggaiahpeta,Gandrai
455,215,6/1/2015,Nandigama,Kanchikacherla,Athukuru
455,1,7/20/2015,Nandigama,Chanderlapadu,Chanderlapadu
456,479,6/22/2015,Jaggaiahpeta,Penuganchiprolu,Anigallapadu
457,356,6/17/2015,Mylavaram,Reddygudem,Reddygudem
458,315,6/9/2015,Nandigama,Nandigama,Adiviravulapadu
458,398,6/12/2015,Tiruvuru,A.Konduru,Koduru
458,244,6/17/2015,Jaggaiahpeta,Jaggaiahpeta,Govrawaram
461,457,5/24/2015,Tiruvuru,Gampalagudem,PEDAKOMERA
461,235,6/3/2015,Nandigama,Chanderlapadu,Gudimetla
465,341,5/30/2015,Tiruvuru,Tiruvuru,Munukulla
467,134,6/24/2015,Jaggaiahpeta,Vatsavai,Chityala
467,357,7/14/2015,Intermediate,Intermediate,Intermediate
470,414,7/3/2015,Tiruvuru,Tiruvuru,Peddavaram
472,421,6/19/2015,Intermediate,Intermediate,Intermediate
473,67,7/11/2015,Nandigama,Kanchikacherla,Paritala
474,22,6/30/2015,Intermediate,Intermediate,Intermediate
482,301,6/28/2015,Nandigama,Nandigama,Thakkellapadu
485,475,6/2/2015,Jaggaiahpeta,Penuganchiprolu,Sanagapadu
485,455,6/22/2015,Tiruvuru,Gampalagudem,GAMPALAGUDEM
488,148,5/30/2015,Jaggaiahpeta,Jaggaiahpeta,Vedadri
488,228,6/14/2015,Nandigama,Kanchikacherla,Vemulapalli
489,271,7/8/2015,Intermediate,Intermediate,Intermediate
491,480,6/28/2015,Jaggaiahpeta,Penuganchiprolu,Intermediate
492,286,6/19/2015,Mylavaram,Reddygudem,Reddygudem
493,150,7/9/2015,Intermediate,Intermediate,Intermediate
495,197,6/23/2015,Mylavaram,G. Konduru,Gaddamanugu
496,381,6/24/2015,Tiruvuru,A.Konduru,Madhavaram
497,401,6/29/2015,Tiruvuru,A.Konduru,A. Konduru
497,142,7/6/2015,Tiruvuru,A.Konduru,Khampampadu
499,63,6/22/2015,Intermediate,Intermediate,Intermediate
500,6,7/13/2015,Tiruvuru,Vissannapeta,Vissannapeta
501,250,6/2/2015,Jaggaiahpeta,Jaggaiahpeta,Jayanthipuram
501,263,7/6/2015,Mylavaram,Mylavaram,mylavaram
502,262,5/24/2015,Mylavaram,Reddygudem,Patha naguluru
504,253,7/14/2015,Mylavaram,Ibrahimpatnam,Kondapalli
506,346,6/7/2015,Tiruvuru,Tiruvuru,Rolupadi
506,421,6/12/2015,Intermediate,Intermediate,Intermediate
506,443,7/11/2015,Tiruvuru,Gampalagudem,VUTUKURU
507,318,7/12/2015,Intermediate,Intermediate,Intermediate
508,91,6/28/2015,Intermediate,Intermediate,Intermediate
511,388,6/26/2015,Tiruvuru,A.Konduru,Khampampadu
512,119,7/16/2015,Intermediate,Intermediate,Intermediate
514,289,5/22/2015,Mylavaram,Reddygudem,Rudra varam
515,383,6/12/2015,Tiruvuru,A.Konduru,Cheemalapadu
515,462,7/8/2015,Tiruvuru,Gampalagudem,VUTUKURU
521,39,7/3/2015,Nandigama,Veerullapadu,Intermediate
522,229,6/27/2015,Nandigama,Chanderlapadu,Veladi Kothapalem
523,494,6/6/2015,Jaggaiahpeta,Penuganchiprolu,Sanagapadu
523,365,6/19/2015,Mylavaram,Mylavaram,pullur
523,312,7/14/2015,Intermediate,Intermediate,Intermediate
524,134,7/1/2015,Jaggaiahpeta,Vatsavai,Dabbagupalli
526,10,6/25/2015,Nandigama,Kanchikacherla,Gottimukkala
527,360,5/28/2015,Mylavaram,Mylavaram,k.r.gudem
528,215,6/7/2015,Nandigama,Kanchikacherla,Pendyala
530,48,6/13/2015,Tiruvuru,Gampalagudem,KONIJARAL
533,443,6/27/2015,Tiruvuru,Gampalagudem,RAJAVARAM
541,424,7/21/2015,Intermediate,Intermediate,Intermediate
542,443,6/5/2015,Tiruvuru,Gampalagudem,AMMIREDDYGUDEM
543,384,6/1/2015,Tiruvuru,A.Konduru,Koduru
543,41,7/1/2015,Nandigama,Veerullapadu,Intermediate
544,139,6/30/2015,Jaggaiahpeta,Vatsavai,Polampalli
546,301,7/8/2015,Nandigama,Chanderlapadu,Konayapalem
547,464,6/26/2015,Tiruvuru,Gampalagudem,LINGALA
549,264,6/2/2015,Mylavaram,Reddygudem,Moddulaparva
549,245,6/15/2015,Jaggaiahpeta,Jaggaiahpeta,Intermediate
553,25,6/2/2015,Tiruvuru,Gampalagudem,SATYALAPADU
553,242,6/4/2015,Jaggaiahpeta,Jaggaiahpeta,Gandrai
553,124,7/11/2015,Jaggaiahpeta,Vatsavai,Vatsavai
554,286,6/11/2015,Mylavaram,Reddygudem,Intermediate
562,134,5/23/2015,Jaggaiahpeta,Vatsavai,Gangavelli
563,364,6/26/2015,Mylavaram,Mylavaram,Intermediate
565,5,6/16/2015,Nandigama,Chanderlapadu,Chinthalapadu
566,408,6/27/2015,Tiruvuru,A.Konduru,Madhavaram
567,12,5/27/2015,Tiruvuru,Vissannapeta,Kondaparava
567,477,6/12/2015,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
569,270,6/17/2015,Mylavaram,Reddygudem,Intermediate
569,358,6/15/2015,Intermediate,Intermediate,Intermediate
570,350,5/25/2015,Intermediate,Intermediate,Intermediate
570,253,6/7/2015,Jaggaiahpeta,Jaggaiahpeta,Intermediate
570,351,6/17/2015,Mylavaram,Mylavaram,Intermediate
571,91,5/29/2015,Mylavaram,Ibrahimpatnam,Kethanakonda
572,386,6/8/2015,Tiruvuru,A.Konduru,Polishettipadu
572,7,7/4/2015,Tiruvuru,Vissannapeta,Vissannapeta
573,355,6/24/2015,Mylavaram,Mylavaram,Intermediate
575,299,6/16/2015,Jaggaiahpeta,Nadigama,Jonnalagadda
575,125,7/13/2015,Jaggaiahpeta,Vatsavai,Makkapeta
578,421,6/12/2015,Intermediate,Intermediate,Intermediate
580,130,6/17/2015,Jaggaiahpeta,Vatsavai,Kanneveedu
581,490,6/12/2015,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
583,494,5/26/2015,Jaggaiahpeta,Penuganchiprolu,Totacharla
583,268,6/7/2015,Mylavaram,Reddygudem,Intermediate
583,306,6/12/2015,Jaggaiahpeta,Nadigama,Jonnalagadda
585,129,6/20/2015,Jaggaiahpeta,Vatsavai,Chityala
587,242,6/20/2015,Jaggaiahpeta,Jaggaiahpeta,Gandrai
590,290,6/4/2015,Mylavaram,Reddygudem,Intermediate
590,82,6/7/2015,Mylavaram,Ibrahimpatnam,Kethanakonda
590,368,7/14/2015,Mylavaram,Ibrahimpatnam,Kondapalli
592,467,5/31/2015,Tiruvuru,Gampalagudem,KANUMURU
593,84,6/17/2015,Mylavaram,Ibrahimpatnam,Kachavaram
594,188,6/6/2015,Mylavaram,G. Konduru,Kuntamukkala
595,278,6/12/2015,Mylavaram,Reddygudem,Intermediate
596,100,5/28/2015,Mylavaram,Vijayawada (R),Rayanipadu
596,274,6/1/2015,Mylavaram,Mylavaram,Morsumalli
597,360,7/20/2015,Intermediate,Intermediate,Intermediate
599,221,6/18/2015,Nandigama,Chanderlapadu,Chinthalapadu
600,500,6/29/2015,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
601,218,6/2/2015,Nandigama,Kanchikacherla,Intermediate
601,410,6/24/2015,Tiruvuru,A.Konduru,Madhavaram
603,329,6/13/2015,Tiruvuru,Tiruvuru,Kakarla
603,119,7/25/2015,Intermediate,Intermediate,Intermediate
607,262,6/8/2015,Mylavaram,Reddygudem,Intermediate
611,121,6/5/2015,Jaggaiahpeta,Vatsavai,Kakaravai
611,492,6/27/2015,Jaggaiahpeta,Penuganchiprolu,Intermediate
617,168,6/4/2015,Nandigama,Chanderlapadu,Kasarabada
617,215,6/12/2015,Nandigama,Kanchikacherla,Pendyala
617,352,7/4/2015,Mylavaram,Mylavaram,mylavaram
619,111,6/17/2015,Jaggaiahpeta,Vatsavai,Machinenipalem
620,376,7/18/2015,Mylavaram,Ibrahimpatnam,Kondapalli
621,186,5/23/2015,Mylavaram,G. Konduru,Kandulapadu
622,285,5/27/2015,Mylavaram,Reddygudem,Rudra varam
622,167,6/6/2015,Intermediate,Intermediate,Intermediate
625,262,6/2/2015,Mylavaram,Reddygudem,K-Naguluru
630,288,6/24/2015,Mylavaram,Reddygudem,Reddygudem
630,71,6/13/2015,Mylavaram,Ibrahimpatnam,GunTupalli
632,178,5/29/2015,Mylavaram,G. Konduru,Sunnampadu
632,115,6/30/2015,Jaggaiahpeta,Vatsavai,Lingala
635,50,6/1/2015,Nandigama,Veerullapadu,Narasimharao Palem
636,279,6/5/2015,Mylavaram,Reddygudem,Intermediate
636,484,6/21/2015,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
636,355,6/25/2015,Mylavaram,Mylavaram,Intermediate
637,113,6/5/2015,Jaggaiahpeta,Vatsavai,Kakaravai
642,133,6/16/2015,Jaggaiahpeta,Vatsavai,Kanneveedu
650,11,6/5/2015,Tiruvuru,Vissannapeta,Intermediate
651,278,6/15/2015,Mylavaram,Reddygudem,Intermediate
651,318,6/28/2015,Intermediate,Intermediate,Intermediate
652,394,6/25/2015,Tiruvuru,A.Konduru,Ramachandrapuram
654,127,5/26/2015,Jaggaiahpeta,Vatsavai,Dechupalem
656,15,5/25/2015,Intermediate,Intermediate,Intermediate
656,85,6/4/2015,Mylavaram,Ibrahimpatnam,Chilukuru
657,323,6/7/2015,Tiruvuru,Tiruvuru,Vavilala
658,210,6/23/2015,Nandigama,Kanchikacherla,Gottimukkala
659,485,6/21/2015,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
664,443,6/4/2015,Tiruvuru,Gampalagudem,AMMIREDDYGUDEM
664,293,7/12/2015,Jaggaiahpeta,Nadigama,Maagallu
665,407,6/22/2015,Tiruvuru,A.Konduru,Ramachandrapuram
666,96,5/29/2015,Mylavaram,Vijayawada (R),paidurpadu
666,498,5/31/2015,Jaggaiahpeta,Penuganchiprolu,Kollikulla
670,292,6/19/2015,Jaggaiahpeta,Nadigama,Rudravaram
672,226,5/31/2015,Nandigama,Kanchikacherla,Intermediate
672,471,7/4/2015,Jaggaiahpeta,Penuganchiprolu,Konakanchi
673,131,5/24/2015,Jaggaiahpeta,Vatsavai,Talluru
676,68,7/11/2015,Nandigama,Kanchikacherla,Paritala
677,147,6/5/2015,Jaggaiahpeta,Jaggaiahpeta,Anumanchipalli
677,260,6/15/2015,Jaggaiahpeta,Jaggaiahpeta,Gandrai
680,370,7/15/2015,Mylavaram,Ibrahimpatnam,Kondapalli
682,25,5/24/2015,Tiruvuru,Gampalagudem,CHINTALANARVA
682,266,6/17/2015,Mylavaram,Reddygudem,Reddygudem
682,445,6/19/2015,Tiruvuru,Gampalagudem,TUNIKIPADU
682,456,6/25/2015,Tiruvuru,Gampalagudem,DUNDIRLAPADU
683,236,7/6/2015,Nandigama,Chanderlapadu,Muppalla
687,386,6/3/2015,Tiruvuru,A.Konduru,Polishettipadu
687,183,6/16/2015,Mylavaram,G. Konduru,Koduru
688,220,7/1/2015,Nandigama,Kanchikacherla,Gottimukkala
697,334,5/29/2015,Tiruvuru,Tiruvuru,Munukulla
697,433,6/12/2015,Intermediate,Intermediate,Intermediate
701,463,5/29/2015,Tiruvuru,Gampalagudem,ANUMULLANKA
706,192,7/8/2015,Mylavaram,G. Konduru,Velagaleru
707,387,6/10/2015,Tiruvuru,A.Konduru,Koduru
709,465,6/16/2015,Tiruvuru,Gampalagudem,TUNIKIPADU
710,104,6/15/2015,Mylavaram,Vijayawada (R),Kottur tadepalli
713,123,6/26/2015,Nandigama,Veerullapadu,Konathalapalli
714,365,5/24/2015,Mylavaram,Mylavaram,Pondugala
714,111,7/10/2015,Jaggaiahpeta,Vatsavai,Makkapeta
716,218,6/13/2015,Nandigama,Kanchikacherla,Gandepalli
717,450,6/12/2015,Tiruvuru,Gampalagudem,KONIJARAL
718,290,7/10/2015,Intermediate,Intermediate,Intermediate
719,161,6/17/2015,Jaggaiahpeta,Jaggaiahpeta,Intermediate
720,210,7/1/2015,Nandigama,Kanchikacherla,Gottimukkala
721,368,6/24/2015,Mylavaram,Mylavaram,Intermediate
726,283,7/8/2015,Intermediate,Intermediate,Intermediate
727,294,6/19/2015,Jaggaiahpeta,Nadigama,Rudravaram
728,368,7/2/2015,Mylavaram,Mylavaram,mylavaram
731,261,6/1/2015,Mylavaram,Reddygudem,Kunaparajparva
736,50,5/26/2015,Nandigama,Veerullapadu,Bodawada
740,67,6/3/2015,Mylavaram,Ibrahimpatnam,Mulapadu
741,63,5/28/2015,Mylavaram,Ibrahimpatnam,Elaprolu
742,169,6/26/2015,Nandigama,Veerullapadu,Konathalapalli
742,472,7/5/2015,Jaggaiahpeta,Penuganchiprolu,Konakanchi
743,284,5/24/2015,Mylavaram,Reddygudem,Rudra varam
743,159,5/30/2015,Nandigama,Veerullapadu,Chennarao Palem
745,492,6/10/2015,Jaggaiahpeta,Penuganchiprolu,Penuganchiprolu
745,167,7/2/2015,Tiruvuru,Vissannapeta,Vissannapeta
745,192,6/15/2015,Mylavaram,G. Konduru,Koduru
748,229,7/1/2015,Nandigama,Chanderlapadu,Veladi Kothapalem
749,173,7/4/2015,Intermediate,Intermediate,Intermediate
752,113,5/30/2015,Jaggaiahpeta,Vatsavai,Kakaravai
752,402,6/27/2015,Tiruvuru,A.Konduru,Ramachandrapuram
753,173,6/16/2015,Mylavaram,G. Konduru,Kavuluru
757,404,6/24/2015,Tiruvuru,A.Konduru,Cheemalapadu
758,254,7/6/2015,Nandigama,Chanderlapadu,Muppalla
761,142,6/21/2015,Tiruvuru,A.Konduru,Khampampadu
762,298,6/7/2015,Nandigama,Nandigama,Aithavaram
764,329,5/26/2015,Tiruvuru,Tiruvuru,Laxmipuram
764,314,6/17/2015,Nandigama,Nandigama,Pallagiri
766,351,7/15/2015,Mylavaram,Ibrahimpatnam,Kondapalli
766,178,7/24/2015,Intermediate,Intermediate,Intermediate
767,25,6/10/2015,Tiruvuru,Gampalagudem,GADEVARIGUDEM
768,167,6/15/2015,Intermediate,Intermediate,Intermediate
772,275,5/30/2015,Mylavaram,Mylavaram,Morsumalli
772,443,7/1/2015,Tiruvuru,Gampalagudem,PENUGOLANU
773,21,6/4/2015,Nandigama,Veerullapadu,Narasimharao Palem
774,365,6/8/2015,Mylavaram,Mylavaram,Morsumalli
776,229,6/16/2015,Nandigama,Chanderlapadu,Chinthalapadu
776,215,7/1/2015,Nandigama,Kanchikacherla,Moguluru
777,442,6/24/2015,Tiruvuru,Gampalagudem,DUNDIRLAPADU
777,136,7/17/2015,Jaggaiahpeta,Vatsavai,Vatsavai
778,245,5/24/2015,Jaggaiahpeta,Jaggaiahpeta,Takkellapadu
778,12,5/27/2015,Tiruvuru,Vissannapeta,Kondaparava
